date,time,open,high,low,close,volume
0,0,0.650013,0.650034,0.650018,0.650026,1000
1,1,0.649997,0.650026,0.650026,0.650026,1000
2,2,0.650455,0.650603,0.650337,0.650470,1000
3,3,0.651269,0.651526,0.651038,0.651282,1000
4,4,0.651752,0.651912,0.651621,0.651767,1000
5,5,0.652860,0.653142,0.652507,0.652824,1000
6,6,0.653996,0.654378,0.653661,0.654019,1000
7,7,0.654914,0.655225,0.654668,0.654947,1000
8,8,0.655540,0.655794,0.655403,0.655599,1000
9,9,0.656146,0.656304,0.655978,0.656141,1000
10,10,0.656496,0.656647,0.656413,0.656530,1000
11,11,0.656301,0.656374,0.656240,0.656307,1000
12,12,0.656069,0.656119,0.655958,0.656038,1000
13,13,0.654958,0.655294,0.654656,0.654975,1000
14,14,0.654295,0.654517,0.654125,0.654321,1000
15,15,0.653339,0.653636,0.653049,0.653343,1000
16,16,0.651649,0.652192,0.651208,0.651700,1000
17,17,0.650610,0.650878,0.650174,0.650526,1000
18,18,0.649240,0.649640,0.648881,0.649260,1000
19,19,0.648286,0.648578,0.647994,0.648286,1000
20,20,0.647551,0.647772,0.647332,0.647552,1000
21,21,0.647079,0.647230,0.646955,0.647093,1000
22,22,0.646341,0.646546,0.646077,0.646311,1000
23,23,0.645622,0.645798,0.645358,0.645578,1000
24,24,0.644956,0.645144,0.644773,0.644959,1000
25,25,0.644653,0.644764,0.644597,0.644680,1000
26,26,0.644218,0.644388,0.644137,0.644262,1000
27,27,0.643777,0.643921,0.643629,0.643775,1000
28,28,0.643085,0.643320,0.642929,0.643125,1000
29,29,0.642775,0.642846,0.642607,0.642727,1000
30,30,0.642010,0.642198,0.641746,0.641972,1000
31,31,0.641014,0.641307,0.640738,0.641023,1000
32,32,0.640769,0.640871,0.640742,0.640807,1000
33,33,0.641043,0.641131,0.640981,0.641056,1000
34,34,0.641435,0.641633,0.641366,0.641500,1000
35,35,0.641338,0.641415,0.641342,0.641378,1000
36,36,0.641256,0.641302,0.641237,0.641270,1000
37,37,0.640538,0.640767,0.640337,0.640552,1000
38,38,0.640168,0.640279,0.640044,0.640162,1000
39,39,0.640071,0.640088,0.640026,0.640057,1000
40,40,0.640329,0.640439,0.640263,0.640351,1000
41,41,0.640795,0.641000,0.640700,0.640850,1000
42,42,0.641219,0.641325,0.641106,0.641215,1000
43,43,0.641289,0.641353,0.641289,0.641321,1000
44,44,0.641079,0.641129,0.640965,0.641047,1000
45,45,0.641119,0.641178,0.641118,0.641148,1000
46,46,0.641011,0.641010,0.640892,0.640951,1000
47,47,0.640719,0.640807,0.640684,0.640746,1000
48,48,0.640546,0.640605,0.640484,0.640544,1000
49,49,0.640314,0.640361,0.640205,0.640283,1000
50,50,0.639670,0.639841,0.639462,0.639652,1000
51,51,0.638878,0.639097,0.638623,0.638860,1000
52,52,0.637937,0.638207,0.637648,0.637927,1000
53,53,0.636611,0.637057,0.636312,0.636684,1000
54,54,0.635607,0.635933,0.635289,0.635611,1000
55,55,0.634764,0.635028,0.634528,0.634778,1000
56,56,0.633871,0.634130,0.633574,0.633852,1000
57,57,0.632605,0.632981,0.632236,0.632608,1000
58,58,0.631578,0.631859,0.631217,0.631538,1000
59,59,0.630154,0.630553,0.629710,0.630131,1000
60,60,0.628823,0.629212,0.628426,0.628819,1000
61,61,0.627330,0.627785,0.626901,0.627343,1000
62,62,0.625683,0.626180,0.625186,0.625683,1000
63,63,0.623824,0.624401,0.623305,0.623853,1000
64,64,0.621917,0.622534,0.621405,0.621970,1000
65,65,0.620167,0.620721,0.619654,0.620187,1000
66,66,0.618518,0.618999,0.617981,0.618490,1000
67,67,0.616276,0.616922,0.615581,0.616251,1000
68,68,0.614440,0.615014,0.613956,0.614485,1000
69,69,0.612970,0.613422,0.612513,0.612968,1000
70,70,0.611547,0.611968,0.611112,0.611540,1000
71,71,0.610331,0.610686,0.609956,0.610321,1000
72,72,0.609752,0.609937,0.609609,0.609773,1000
73,73,0.609191,0.609371,0.609027,0.609199,1000
74,74,0.608058,0.608396,0.607709,0.608053,1000
75,75,0.606979,0.607299,0.606655,0.606977,1000
76,76,0.606191,0.606424,0.605951,0.606187,1000
77,77,0.605417,0.605667,0.605222,0.605445,1000
78,78,0.605304,0.605335,0.605241,0.605288,1000
79,79,0.605026,0.605088,0.604916,0.605002,1000
80,80,0.604565,0.604671,0.604387,0.604529,1000
81,81,0.603435,0.603753,0.603090,0.603421,1000
82,82,0.602827,0.603021,0.602678,0.602850,1000
83,83,0.602578,0.602647,0.602473,0.602560,1000
84,84,0.602267,0.602354,0.602177,0.602265,1000
85,85,0.601895,0.601994,0.601762,0.601878,1000
86,86,0.601288,0.601469,0.601119,0.601294,1000
87,87,0.601090,0.601125,0.600980,0.601052,1000
88,88,0.600551,0.600685,0.600371,0.600528,1000
89,89,0.600481,0.600499,0.600474,0.600487,1000
90,90,0.600866,0.601035,0.600782,0.600909,1000
91,91,0.601453,0.601534,0.601245,0.601390,1000
92,92,0.601757,0.601849,0.601637,0.601743,1000
93,93,0.602659,0.602886,0.602358,0.602622,1000
94,94,0.603225,0.603369,0.603024,0.603196,1000
95,95,0.604313,0.604610,0.603957,0.604283,1000
96,96,0.605711,0.606103,0.605262,0.605683,1000
97,97,0.606759,0.607026,0.606406,0.606716,1000
98,98,0.608407,0.608873,0.607877,0.608375,1000
99,99,0.609857,0.610312,0.609417,0.609865,1000
