date,time,open,high,low,close,volume
0,0,1.079978,1.079989,1.079980,1.079984,1000
1,1,1.079953,1.079950,1.079920,1.079935,1000
2,2,1.080249,1.080327,1.080146,1.080237,1000
3,3,1.081332,1.081713,1.081031,1.081372,1000
4,4,1.082122,1.082344,1.081896,1.082120,1000
5,5,1.081274,1.081540,1.081043,1.081291,1000
6,6,1.080369,1.080631,1.080065,1.080348,1000
7,7,1.079663,1.079847,1.079417,1.079632,1000
8,8,1.078034,1.078547,1.077618,1.078083,1000
9,9,1.077325,1.077521,1.077039,1.077280,1000
10,10,1.077062,1.077123,1.076988,1.077055,1000
11,11,1.076938,1.076949,1.076858,1.076903,1000
12,12,1.076019,1.076302,1.075787,1.076045,1000
13,13,1.075313,1.075563,1.075151,1.075357,1000
14,14,1.075819,1.075922,1.075661,1.075791,1000
15,15,1.075547,1.075674,1.075574,1.075624,1000
16,16,1.075771,1.075812,1.075725,1.075769,1000
17,17,1.076243,1.076345,1.076079,1.076212,1000
18,18,1.076426,1.076530,1.076383,1.076457,1000
19,19,1.077226,1.077461,1.076998,1.077230,1000
20,20,1.077434,1.077624,1.077442,1.077533,1000
21,21,1.078039,1.078108,1.077842,1.077975,1000
22,22,1.077855,1.077850,1.077743,1.077797,1000
23,23,1.077689,1.077687,1.077594,1.077640,1000
24,24,1.077892,1.077830,1.077743,1.077786,1000
25,25,1.078699,1.079009,1.078444,1.078727,1000
26,26,1.079280,1.079388,1.079083,1.079236,1000
27,27,1.079305,1.079286,1.079263,1.079275,1000
28,28,1.079586,1.079558,1.079427,1.079493,1000
29,29,1.080861,1.081303,1.080467,1.080885,1000
30,30,1.081709,1.081941,1.081453,1.081697,1000
31,31,1.082678,1.082811,1.082297,1.082554,1000
32,32,1.083027,1.083177,1.082890,1.083034,1000
33,33,1.083503,1.083574,1.083324,1.083449,1000
34,34,1.083766,1.083857,1.083669,1.083763,1000
35,35,1.083792,1.083814,1.083790,1.083802,1000
36,36,1.083737,1.083827,1.083816,1.083822,1000
37,37,1.083921,1.083849,1.083836,1.083843,1000
38,38,1.083222,1.083389,1.083000,1.083194,1000
39,39,1.082845,1.082946,1.082734,1.082840,1000
40,40,1.082341,1.082480,1.082171,1.082325,1000
41,41,1.081658,1.081854,1.081450,1.081652,1000
42,42,1.080844,1.081041,1.080518,1.080780,1000
43,43,1.079806,1.080089,1.079497,1.079793,1000
44,44,1.078993,1.079271,1.078823,1.079047,1000
45,45,1.078237,1.078463,1.077962,1.078212,1000
46,46,1.077029,1.077365,1.076640,1.077003,1000
47,47,1.076440,1.076636,1.076322,1.076479,1000
48,48,1.075880,1.076130,1.075831,1.075981,1000
49,49,1.075500,1.075573,1.075223,1.075398,1000
50,50,1.074523,1.074772,1.074236,1.074504,1000
51,51,1.073082,1.073519,1.072675,1.073097,1000
52,52,1.070837,1.071521,1.070171,1.070846,1000
53,53,1.070040,1.070163,1.069579,1.069871,1000
54,54,1.069846,1.069836,1.069806,1.069821,1000
55,55,1.069978,1.070136,1.069991,1.070063,1000
56,56,1.070206,1.070386,1.070237,1.070311,1000
57,57,1.070309,1.070289,1.070269,1.070279,1000
58,58,1.070240,1.070250,1.070225,1.070238,1000
59,59,1.070739,1.070970,1.070632,1.070801,1000
60,60,1.071032,1.071262,1.071049,1.071156,1000
61,61,1.071950,1.072183,1.071709,1.071946,1000
62,62,1.072978,1.073334,1.072693,1.073014,1000
63,63,1.074343,1.074509,1.073819,1.074164,1000
64,64,1.074807,1.075015,1.074622,1.074819,1000
65,65,1.075427,1.075638,1.075260,1.075449,1000
66,66,1.075740,1.075984,1.075737,1.075861,1000
67,67,1.075626,1.075684,1.075532,1.075608,1000
68,68,1.075119,1.075253,1.074949,1.075101,1000
69,69,1.075855,1.076094,1.075636,1.075865,1000
70,70,1.076561,1.076807,1.076372,1.076590,1000
71,71,1.077582,1.077863,1.077275,1.077569,1000
