date,time,open,high,low,close,volume
0,0,1.260022,1.259985,1.259972,1.259978,1000
1,1,1.259863,1.259909,1.259850,1.259880,1000
2,2,1.259322,1.259438,1.259059,1.259249,1000
3,3,1.258642,1.258869,1.258543,1.258706,1000
4,4,1.258852,1.258905,1.258813,1.258859,1000
5,5,1.259615,1.259802,1.259367,1.259585,1000
6,6,1.260650,1.260949,1.260319,1.260634,1000
7,7,1.260412,1.260545,1.260470,1.260507,1000
8,8,1.260918,1.260970,1.260756,1.260863,1000
9,9,1.260787,1.260854,1.260847,1.260851,1000
10,10,1.260627,1.260658,1.260493,1.260575,1000
11,11,1.259929,1.260102,1.259696,1.259899,1000
12,12,1.259546,1.259630,1.259400,1.259515,1000
13,13,1.258942,1.259162,1.258860,1.259011,1000
14,14,1.258481,1.258603,1.258254,1.258428,1000
15,15,1.257226,1.257610,1.256908,1.257259,1000
16,16,1.256344,1.256607,1.256049,1.256328,1000
17,17,1.255888,1.255918,1.255567,1.255743,1000
18,18,1.256025,1.256177,1.255977,1.256077,1000
19,19,1.256017,1.256002,1.255938,1.255970,1000
20,20,1.256905,1.257275,1.256672,1.256973,1000
21,21,1.259004,1.259615,1.258395,1.259005,1000
22,22,1.260783,1.261243,1.260210,1.260726,1000
23,23,1.263435,1.264218,1.262605,1.263411,1000
24,24,1.265260,1.265845,1.264721,1.265283,1000
25,25,1.266811,1.267362,1.266402,1.266882,1000
26,26,1.268407,1.268808,1.267919,1.268364,1000
27,27,1.269559,1.269963,1.269225,1.269594,1000
28,28,1.270487,1.270842,1.270266,1.270554,1000
29,29,1.271383,1.271662,1.271150,1.271406,1000
30,30,1.271392,1.271487,1.271450,1.271468,1000
31,31,1.271971,1.272099,1.271808,1.271953,1000
32,32,1.272306,1.272385,1.272186,1.272285,1000
33,33,1.272227,1.272218,1.272161,1.272189,1000
34,34,1.272515,1.272656,1.272440,1.272548,1000
35,35,1.272597,1.272492,1.272444,1.272468,1000
36,36,1.273028,1.273228,1.272877,1.273053,1000
37,37,1.273431,1.273549,1.273320,1.273434,1000
38,38,1.273579,1.273582,1.273514,1.273548,1000
39,39,1.273693,1.273678,1.273618,1.273648,1000
40,40,1.273973,1.273892,1.273779,1.273836,1000
41,41,1.274802,1.274969,1.274446,1.274707,1000
42,42,1.274724,1.274772,1.274742,1.274757,1000
43,43,1.274446,1.274566,1.274403,1.274485,1000
44,44,1.274653,1.274660,1.274579,1.274620,1000
45,45,1.273938,1.274145,1.273738,1.273941,1000
46,46,1.273329,1.273538,1.273193,1.273366,1000
47,47,1.272225,1.272550,1.271851,1.272201,1000
48,48,1.271124,1.271416,1.270744,1.271080,1000
49,49,1.269645,1.270076,1.269215,1.269646,1000
50,50,1.268397,1.268793,1.268063,1.268428,1000
51,51,1.267405,1.267703,1.267082,1.267392,1000
52,52,1.267143,1.267140,1.266925,1.267032,1000
53,53,1.265539,1.266025,1.265163,1.265594,1000
54,54,1.264944,1.265109,1.264693,1.264901,1000
55,55,1.263750,1.264114,1.263440,1.263777,1000
56,56,1.262293,1.262740,1.261851,1.262295,1000
57,57,1.262243,1.262245,1.262202,1.262224,1000
58,58,1.260931,1.261297,1.260503,1.260900,1000
59,59,1.259383,1.259872,1.258992,1.259432,1000
60,60,1.257900,1.258374,1.257468,1.257921,1000
61,61,1.258071,1.258034,1.257982,1.258008,1000
62,62,1.258359,1.258339,1.258186,1.258263,1000
63,63,1.258072,1.258131,1.258018,1.258074,1000
64,64,1.257427,1.257519,1.257043,1.257281,1000
65,65,1.257123,1.257152,1.257041,1.257096,1000
