date,time,open,high,low,close,volume
0,0,0.600016,0.600011,0.600006,0.600008,1000
1,1,0.599955,0.599976,0.599947,0.599961,1000
2,2,0.599648,0.599726,0.599524,0.599625,1000
3,3,0.599518,0.599547,0.599480,0.599513,1000
4,4,0.599222,0.599288,0.599096,0.599192,1000
5,5,0.598469,0.598657,0.598198,0.598428,1000
6,6,0.597518,0.597798,0.597258,0.597528,1000
7,7,0.596753,0.596954,0.596463,0.596709,1000
8,8,0.596118,0.596302,0.595953,0.596127,1000
9,9,0.595518,0.595725,0.595381,0.595553,1000
10,10,0.594485,0.594843,0.594235,0.594539,1000
11,11,0.593830,0.594039,0.593611,0.593825,1000
12,12,0.593602,0.593710,0.593612,0.593661,1000
13,13,0.593772,0.593773,0.593721,0.593747,1000
14,14,0.593522,0.593598,0.593470,0.593534,1000
15,15,0.593091,0.593226,0.592962,0.593094,1000
16,16,0.593274,0.593341,0.593227,0.593284,1000
17,17,0.593396,0.593434,0.593365,0.593400,1000
18,18,0.593133,0.593212,0.593050,0.593131,1000
19,19,0.593304,0.593368,0.593259,0.593313,1000
20,20,0.593863,0.593992,0.593679,0.593835,1000
21,21,0.594373,0.594525,0.594207,0.594366,1000
22,22,0.594910,0.595052,0.594735,0.594893,1000
23,23,0.595371,0.595487,0.595213,0.595350,1000
24,24,0.595903,0.596025,0.595714,0.595869,1000
25,25,0.596817,0.597056,0.596508,0.596782,1000
26,26,0.597791,0.598064,0.597472,0.597768,1000
27,27,0.598760,0.599042,0.598454,0.598748,1000
28,28,0.599105,0.599218,0.599001,0.599109,1000
29,29,0.600014,0.600320,0.599761,0.600040,1000
30,30,0.600724,0.600937,0.600523,0.600730,1000
31,31,0.601296,0.601457,0.601121,0.601289,1000
32,32,0.602379,0.602642,0.602017,0.602329,1000
33,33,0.603057,0.603305,0.602854,0.603080,1000
34,34,0.604372,0.604771,0.603990,0.604380,1000
35,35,0.605205,0.605452,0.604957,0.605205,1000
36,36,0.606221,0.606500,0.605902,0.606201,1000
37,37,0.606853,0.607012,0.606638,0.606825,1000
38,38,0.607870,0.608158,0.607543,0.607851,1000
39,39,0.608714,0.608925,0.608429,0.608677,1000
40,40,0.609352,0.609513,0.609127,0.609320,1000
41,41,0.609821,0.609987,0.609679,0.609833,1000
42,42,0.610232,0.610383,0.610129,0.610256,1000
43,43,0.610213,0.610224,0.610197,0.610210,1000
44,44,0.610308,0.610297,0.610257,0.610277,1000
45,45,0.609816,0.609970,0.609708,0.609839,1000
46,46,0.608871,0.609147,0.608555,0.608851,1000
47,47,0.608263,0.608430,0.608069,0.608250,1000
48,48,0.607255,0.607592,0.607029,0.607311,1000
49,49,0.606495,0.606731,0.606235,0.606483,1000
50,50,0.605267,0.605607,0.604858,0.605232,1000
51,51,0.604228,0.604518,0.603906,0.604212,1000
52,52,0.602857,0.603266,0.602456,0.602861,1000
53,53,0.601423,0.601878,0.601037,0.601457,1000
54,54,0.600284,0.600613,0.599891,0.600252,1000
55,55,0.599391,0.599672,0.599175,0.599424,1000
56,56,0.598169,0.598549,0.597800,0.598175,1000
57,57,0.597433,0.597679,0.597255,0.597467,1000
58,58,0.596579,0.596813,0.596252,0.596532,1000
59,59,0.595728,0.595987,0.595519,0.595753,1000
60,60,0.594984,0.595232,0.594785,0.595009,1000
61,61,0.594246,0.594456,0.593983,0.594220,1000
62,62,0.593572,0.593754,0.593354,0.593554,1000
63,63,0.592625,0.592919,0.592375,0.592647,1000
64,64,0.592254,0.592378,0.592147,0.592262,1000
65,65,0.591791,0.591893,0.591577,0.591735,1000
66,66,0.591626,0.591646,0.591570,0.591608,1000
67,67,0.591684,0.591620,0.591615,0.591618,1000
68,68,0.592022,0.592105,0.591880,0.591993,1000
69,69,0.592291,0.592421,0.592223,0.592322,1000
70,70,0.592570,0.592619,0.592482,0.592551,1000
71,71,0.592617,0.592645,0.592601,0.592623,1000
