date,time,open,high,low,close,volume
0,0,2399.796967,2399.995053,2399.990813,2399.992933,1000
1,1,2399.070225,2399.281946,2398.672713,2398.977329,1000
2,2,2397.144224,2397.652623,2396.517799,2397.085211,1000
3,3,2394.795671,2395.485798,2394.115805,2394.800801,1000
4,4,2393.217629,2393.838204,2393.013460,2393.425832,1000
5,5,2390.706799,2391.635699,2390.102470,2390.869084,1000
6,6,2390.322437,2390.394121,2389.987093,2390.190607,1000
7,7,2389.712562,2389.875040,2389.604590,2389.739815,1000
8,8,2388.024774,2388.526078,2387.486271,2388.006174,1000
9,9,2384.372998,2385.577056,2383.497115,2384.537085,1000
10,10,2382.896983,2383.334715,2382.304643,2382.819679,1000
11,11,2382.915938,2383.141081,2382.992736,2383.066908,1000
12,12,2382.345364,2382.583722,2382.169648,2382.376685,1000
13,13,2382.283347,2382.217390,2382.080861,2382.149126,1000
14,14,2383.067550,2383.557664,2382.907456,2383.232560,1000
15,15,2385.860231,2386.781077,2385.142579,2385.961828,1000
16,16,2387.659411,2388.127800,2387.127852,2387.627826,1000
17,17,2387.644421,2387.928309,2387.789619,2387.858964,1000
18,18,2387.674104,2387.660709,2387.490791,2387.575750,1000
19,19,2384.729276,2385.579105,2383.869154,2384.724129,1000
20,20,2380.033234,2381.489179,2378.720201,2380.104690,1000
21,21,2376.832348,2377.734567,2375.705097,2376.719832,1000
22,22,2373.668096,2374.478026,2372.558327,2373.518176,1000
23,23,2369.147705,2370.326507,2367.594543,2368.960525,1000
24,24,2363.174897,2364.847929,2361.329091,2363.088510,1000
25,25,2358.137204,2359.652893,2356.712446,2358.182669,1000
26,26,2352.821329,2354.554151,2351.448875,2353.001513,1000
27,27,2349.943340,2350.916623,2349.131191,2350.023907,1000
28,28,2347.499081,2348.183821,2346.607865,2347.395843,1000
29,29,2345.057218,2345.731917,2344.306726,2345.019322,1000
30,30,2344.329659,2344.531699,2344.113825,2344.322762,1000
31,31,2344.022930,2344.030525,2343.780069,2343.905297,1000
32,32,2344.042770,2344.140775,2344.032089,2344.086432,1000
33,33,2345.108675,2345.718684,2344.965182,2345.341933,1000
34,34,2347.019252,2347.537315,2346.523781,2347.030548,1000
35,35,2349.974008,2350.771919,2349.044319,2349.908119,1000
36,36,2352.329075,2353.010290,2351.577959,2352.294125,1000
37,37,2352.559834,2352.728521,2352.528019,2352.628270,1000
38,38,2351.703473,2352.113658,2351.672661,2351.893160,1000
39,39,2350.135552,2350.630513,2349.548837,2350.089675,1000
40,40,2350.497420,2350.516860,2350.319687,2350.418274,1000
41,41,2349.935626,2350.013413,2349.666450,2349.839932,1000
42,42,2349.992968,2350.014282,2349.933811,2349.974046,1000
43,43,2350.226423,2350.127637,2350.056748,2350.092192,1000
44,44,2350.650691,2350.934753,2350.545838,2350.740296,1000
45,45,2351.547087,2351.589604,2351.197574,2351.393589,1000
46,46,2351.629271,2351.720215,2351.569458,2351.644837,1000
47,47,2349.293948,2350.004451,2348.599406,2349.301929,1000
48,48,2346.930136,2347.510052,2345.975353,2346.742703,1000
49,49,2344.218561,2345.094891,2343.683494,2344.389193,1000
50,50,2343.151684,2343.535180,2342.803441,2343.169310,1000
51,51,2342.357328,2342.574790,2342.065334,2342.320062,1000
52,52,2342.294852,2342.274775,2342.235957,2342.255366,1000
53,53,2341.765541,2341.846683,2341.496445,2341.671564,1000
54,54,2342.088087,2342.294011,2342.006705,2342.150358,1000
55,55,2341.875915,2342.004619,2341.879708,2341.942164,1000
56,56,2342.355096,2342.476710,2342.229980,2342.353345,1000
57,57,2342.149529,2342.404485,2342.380882,2342.392683,1000
58,58,2344.097362,2344.388341,2343.467036,2343.927688,1000
59,59,2344.996503,2345.162611,2344.592558,2344.877584,1000
60,60,2344.432431,2344.725661,2344.595449,2344.660555,1000
61,61,2346.783637,2347.634773,2346.261542,2346.948157,1000
62,62,2348.215172,2348.679595,2347.880295,2348.279945,1000
63,63,2347.719287,2347.937302,2347.643652,2347.790477,1000
64,64,2347.205178,2347.377516,2347.023613,2347.200565,1000
65,65,2344.712705,2345.440127,2343.932335,2344.686231,1000
66,66,2343.604436,2343.992758,2343.398533,2343.695645,1000
67,67,2342.964071,2343.272133,2342.909189,2343.090661,1000
68,68,2345.744972,2346.724919,2345.046800,2345.885859,1000
69,69,2348.062625,2348.558459,2347.324536,2347.941497,1000
70,70,2349.827674,2350.596328,2349.370612,2349.983470,1000
71,71,2351.336088,2351.799841,2350.961324,2351.380583,1000
72,72,2352.808928,2352.982089,2352.242783,2352.612436,1000
73,73,2352.127540,2352.210060,2351.865226,2352.037643,1000
74,74,2351.905589,2351.929187,2351.836229,2351.882708,1000
75,75,2354.237447,2354.886039,2353.499363,2354.192701,1000
76,76,2359.977915,2361.554360,2358.153532,2359.853946,1000
77,77,2364.232165,2365.638625,2362.966839,2364.302732,1000
